pose_id,tx,ty,tz,qx,qy,qz,qw
171,17.346100000,-7.195150000,0.241690000,0.010572900,0.061199400,0.071512900,0.995504000
172,17.246900000,-7.039630000,0.138130000,0.010619800,0.061284800,0.071913300,0.995470000
173,17.145400000,-6.831970000,0.023930400,0.010662300,0.061346600,0.072275500,0.995439000
174,17.063300000,-6.651340000,-0.047153200,0.010701800,0.061393400,0.072604200,0.995412000
175,16.984000000,-6.488550000,-0.123705000,0.010738200,0.061424200,0.072902900,0.995388000
176,16.906600000,-6.296260000,-0.217847000,0.010770900,0.061435700,0.073165700,0.995367000
177,16.838600000,-6.173250000,-0.303142000,0.010800200,0.061429700,0.073406100,0.995350000
178,16.771200000,-6.038670000,-0.370501000,0.010826800,0.061409700,0.073621800,0.995335000
179,16.724800000,-5.911390000,-0.425566000,0.010851200,0.061378300,0.073813600,0.995322000
180,16.642000000,-5.736330000,-0.497533000,0.010872600,0.061331700,0.073973100,0.995313000
181,16.585900000,-5.632070000,-0.551801000,0.010891900,0.061273900,0.074113500,0.995306000
182,16.523600000,-5.495750000,-0.623638000,0.010908200,0.061201300,0.074228700,0.995302000
183,16.455300000,-5.353170000,-0.720238000,0.010920800,0.061108900,0.074317600,0.995301000
184,16.397300000,-5.222970000,-0.825159000,0.010929100,0.060995400,0.074382400,0.995303000
185,16.320800000,-5.095260000,-0.910172000,0.010934100,0.060864400,0.074424000,0.995308000
186,16.258300000,-5.012260000,-0.962282000,0.010936900,0.060722500,0.074450900,0.995314000
187,16.194800000,-4.880680000,-1.038120000,0.010936700,0.060564900,0.074453500,0.995324000
188,16.144200000,-4.754270000,-1.121280000,0.010933200,0.060390500,0.074432600,0.995336000
189,16.099600000,-4.662460000,-1.185960000,0.010927000,0.060203000,0.074394800,0.995350000
190,16.036400000,-4.545300000,-1.276660000,0.010917300,0.059997000,0.074335500,0.995367000
191,15.988900000,-4.459800000,-1.351650000,0.010904500,0.059775800,0.074260700,0.995386000
192,15.929300000,-4.351320000,-1.438060000,0.010888400,0.059537000,0.074166000,0.995408000
193,15.840000000,-4.198650000,-1.558430000,0.010867300,0.059273600,0.074043600,0.995433000
194,15.762500000,-4.038900000,-1.647620000,0.010842700,0.058991900,0.073891800,0.995461000
195,15.668900000,-3.863910000,-1.754730000,0.010813600,0.058688100,0.073707900,0.995493000
196,15.570600000,-3.727070000,-1.875900000,0.010779700,0.058359500,0.073499600,0.995528000
197,15.505900000,-3.611780000,-1.980880000,0.010741600,0.058009700,0.073270300,0.995566000
198,15.448500000,-3.485640000,-2.080600000,0.010699500,0.057639700,0.073017600,0.995606000
199,15.380100000,-3.355240000,-2.169300000,0.010653800,0.057251600,0.072741000,0.995649000
200,15.320200000,-3.243100000,-2.246570000,0.010605000,0.056847600,0.072443900,0.995695000
201,15.248700000,-3.115730000,-2.351570000,0.010551900,0.056422300,0.072123600,0.995743000
202,15.176100000,-2.998200000,-2.458310000,0.010494600,0.055975200,0.071781900,0.995793000
203,15.104600000,-2.860050000,-2.601150000,0.010431600,0.055499500,0.071415000,0.995847000
204,15.021100000,-2.690340000,-2.733460000,0.010363200,0.054996900,0.071016800,0.995904000
205,14.942600000,-2.517020000,-2.839570000,0.010290500,0.054472700,0.070586500,0.995964000
206,14.859400000,-2.372360000,-2.942180000,0.010213600,0.053927300,0.070129800,0.996027000
207,14.762800000,-2.220590000,-3.110250000,0.010130000,0.053348000,0.069645700,0.996093000
208,14.695500000,-2.080930000,-3.230510000,0.010041500,0.052744500,0.069135900,0.996161000
209,14.634200000,-1.941450000,-3.328640000,0.009949080,0.052120900,0.068600200,0.996232000
210,14.554800000,-1.759680000,-3.449160000,0.009851690,0.051472900,0.068030700,0.996306000
211,14.520600000,-1.659310000,-3.518230000,0.009751470,0.050810900,0.067442400,0.996381000
212,14.464800000,-1.518740000,-3.631460000,0.009646690,0.050126000,0.066827800,0.996458000
213,14.434100000,-1.446860000,-3.714190000,0.009538660,0.049424700,0.066199800,0.996536000
214,14.363300000,-1.309460000,-3.854290000,0.009425060,0.048695100,0.065546600,0.996616000
