kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
165,540,0.195319518,-8.144076347,5.888243198,-0.007660814,0.371225715,0.643208981,0.669666767,
166,543,0.061599065,-7.710149288,5.633897305,-0.011506901,0.372724622,0.635953426,0.675681055,
167,547,0.241706282,-6.725406170,5.279415131,-0.025099540,0.407307029,0.616727471,0.673170507,
168,549,0.302755624,-6.516922951,4.888159752,-0.021243095,0.409341067,0.617059529,0.671763301,
169,551,0.560397744,-6.010565758,4.987533569,-0.047795452,0.426062196,0.617623329,0.659369588,
170,554,0.619095922,-5.924686909,4.087575436,-0.034858782,0.411917806,0.628009558,0.659358621,
171,557,0.385557264,-5.569937706,3.842539549,-0.041204184,0.409687877,0.615428925,0.672120690,
172,561,0.200869665,-5.139771461,3.353975534,-0.047585458,0.394318610,0.612239420,0.683704972,
173,564,0.452037930,-4.676492691,2.718646049,-0.046699021,0.411343575,0.616367996,0.669886529,
174,568,0.321582824,-4.189364910,1.874966145,-0.049426541,0.406425893,0.612836242,0.675905824,
175,572,-0.086493462,-3.380723476,1.530151486,-0.072957203,0.429938406,0.539074898,0.720604897,
176,576,-2.587968826,-2.198249340,-0.117448725,-0.155622199,0.138136342,0.230369106,0.950617373,
177,579,-2.060665369,-0.696435928,-2.714097977,-0.183159783,-0.204480007,-0.069845647,0.959064782,
178,581,-1.798434138,-0.588131905,-3.304873466,-0.232065678,-0.262242138,-0.119036376,0.929111660,
179,585,-2.405194283,-0.458969921,-3.844760895,-0.230669737,-0.186521292,-0.032011855,0.954473913,
180,589,-2.520523548,-0.214508489,-4.788002968,-0.282145083,-0.179792717,-0.065537371,0.940116465,
181,591,-2.810775280,0.347378194,-5.133170128,-0.227328300,-0.161021098,-0.035183832,0.959792137,
182,594,-2.752462387,-0.261998862,-5.843384743,-0.293853015,-0.165607750,-0.013971131,0.941314161,
183,598,-2.495274544,1.574420452,-6.431365967,-0.157998532,-0.177877635,-0.030378481,0.970833778,
184,602,-2.453779936,-0.415856540,-7.564435005,-0.343751341,-0.155805692,-0.032882515,0.925484419,
185,605,-3.370999575,0.872363865,-7.845809937,-0.272017092,-0.094319046,-0.005833202,0.957664549,
186,608,-3.215375423,0.017335128,-8.679053307,-0.332794189,-0.103224941,-0.003098963,0.937352061,
