kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
19,62,1.340894461,5.076929569,-8.364730835,-0.136565025,-0.269480501,-0.127903831,0.944653833,112
20,65,1.161741614,4.752618313,-9.091023445,-0.188427247,-0.235649844,-0.150935428,0.941372838,113
21,70,0.539056301,5.478622437,-9.551473618,-0.179062054,-0.230204041,-0.111430068,0.950013800,114
22,74,0.866249084,6.103936672,-9.925595284,-0.166664655,-0.250680616,-0.107065245,0.947585962,115
23,79,1.164015770,5.880075455,-10.924477577,-0.206650372,-0.249678482,-0.111125849,0.939471833,117
24,82,1.381179571,5.953148365,-11.260341644,-0.220191041,-0.233151455,-0.135497119,0.937441644,118
25,84,2.990244389,5.919904709,-11.211104393,-0.226530114,-0.250991113,-0.203821009,0.918773402,118
26,87,8.169278145,5.167161465,-9.095790863,-0.187146729,-0.319014406,-0.419750501,0.828863938,118
27,90,12.346573830,1.272237062,-5.370814800,-0.154457730,-0.401827295,-0.624757607,0.651425796,119
28,92,13.035159111,0.331366032,-3.969153404,0.139522953,0.439267036,0.657681152,-0.595846724,120
29,95,13.208312988,0.418076664,-4.082840919,0.123746152,0.421541163,0.683464768,-0.582980144,120
30,99,13.083905220,0.997982979,-4.821925640,0.153737487,0.457349947,0.641772579,-0.596090402,122
31,102,12.711998940,2.287646532,-5.687505722,0.144509129,0.429998835,0.633514616,-0.626799287,122
32,105,12.826419830,2.581384182,-5.604787350,0.138913718,0.439178423,0.636658965,-0.618458288,123
33,108,13.169894218,2.440517187,-5.340299129,0.133989569,0.444844432,0.655246685,-0.595660984,124
34,111,12.831857681,2.786146164,-6.429478168,0.169507857,0.464405074,0.620429210,-0.608820671,125
35,113,12.629016876,3.548387051,-6.800970078,-0.162724681,-0.449545478,-0.619085868,0.623026668,125
36,115,12.858306885,3.610468864,-6.622046947,0.157889422,0.453171466,0.630290024,-0.610279476,126
37,118,12.915964127,3.274580717,-7.177457809,0.186911925,0.477118095,0.615580416,-0.598734504,127
38,119,13.077592850,3.825505733,-6.855343819,0.165933765,0.485320227,0.614719158,-0.599208328,127
